date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:01	757/757	---M--	200	added ('OK')	application/javascript	etag:W/%222f5-173edeb3ea0%22	https://deeply-neon-blackcurrant.glitch.me/storageConf.js	C:/Benim%20Web%20Sitem/test/deeply-neon-blackcurrant.glitch.me/storageConf.js	(from https://deeply-neon-blackcurrant.glitch.me/index.html?v=)
14:29:01	56842/56842	---MCZ	200	added ('OK')	text/css	etag:W/%2241d394990448b2c2b1afe840e837dc8e%22	https://use.fontawesome.com/releases/v5.11.2/css/all.css	C:/Benim%20Web%20Sitem/test/use.fontawesome.com/releases/v5.11.2/css/all.css	(from https://deeply-neon-blackcurrant.glitch.me/index.html?v=)
14:29:01	44629/44629	---M--	200	added ('OK')	application/javascript	etag:W/%22ae55-173edeaa648%22	https://deeply-neon-blackcurrant.glitch.me/vendors.js?01ae98f328bbf544517d	C:/Benim%20Web%20Sitem/test/deeply-neon-blackcurrant.glitch.me/vendors5ecb.js	(from https://deeply-neon-blackcurrant.glitch.me/index.html?v=)
14:29:02	61762/61762	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22f142-1776900dc00%22	https://deeply-neon-blackcurrant.glitch.me/assets/Geogrotesque-Regular.eot	C:/Benim%20Web%20Sitem/test/deeply-neon-blackcurrant.glitch.me/assets/Geogrotesque-Regular.eot	(from https://deeply-neon-blackcurrant.glitch.me/davi.css?ec6d7c0e25a6762cdc98)
14:29:03	17656/17656	---M--	200	added ('OK')	font/woff2	etag:W/%2244f8-17768a31048%22	https://deeply-neon-blackcurrant.glitch.me/assets/Geogrotesque-Regular.woff2	C:/Benim%20Web%20Sitem/test/deeply-neon-blackcurrant.glitch.me/assets/Geogrotesque-Regular.woff2	(from https://deeply-neon-blackcurrant.glitch.me/davi.css?ec6d7c0e25a6762cdc98)
14:29:03	61762/61762	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22f142-1776900dc00%22	https://deeply-neon-blackcurrant.glitch.me/assets/Geogrotesque-Regular.eot?	C:/Benim%20Web%20Sitem/test/deeply-neon-blackcurrant.glitch.me/assets/Geogrotesque-Regulard41d.eot	(from https://deeply-neon-blackcurrant.glitch.me/davi.css?ec6d7c0e25a6762cdc98)
14:29:04	25716/25716	---M--	200	added ('OK')	font/woff	etag:W/%226474-1776901a720%22	https://deeply-neon-blackcurrant.glitch.me/assets/Geogrotesque-Regular.woff	C:/Benim%20Web%20Sitem/test/deeply-neon-blackcurrant.glitch.me/assets/Geogrotesque-Regular.woff	(from https://deeply-neon-blackcurrant.glitch.me/davi.css?ec6d7c0e25a6762cdc98)
14:29:05	2023813/2023813	---M--	200	added ('OK')	application/javascript	etag:W/%221ee185-1785746efd0%22	https://deeply-neon-blackcurrant.glitch.me/core.js?01ae98f328bbf544517d	C:/Benim%20Web%20Sitem/test/deeply-neon-blackcurrant.glitch.me/core5ecb.js	(from https://deeply-neon-blackcurrant.glitch.me/index.html?v=)
14:29:05	61552/61552	---M--	200	added ('OK')	font/ttf	etag:W/%22f070-17769021098%22	https://deeply-neon-blackcurrant.glitch.me/assets/Geogrotesque-Regular.ttf	C:/Benim%20Web%20Sitem/test/deeply-neon-blackcurrant.glitch.me/assets/Geogrotesque-Regular.ttf	(from https://deeply-neon-blackcurrant.glitch.me/davi.css?ec6d7c0e25a6762cdc98)
14:29:06	217275/217275	---M--	200	added ('OK')	image/svg+xml	etag:W/%22350bb-17769026a70%22	https://deeply-neon-blackcurrant.glitch.me/assets/Geogrotesque-Regular.svg	C:/Benim%20Web%20Sitem/test/deeply-neon-blackcurrant.glitch.me/assets/Geogrotesque-Regular.svg	(from https://deeply-neon-blackcurrant.glitch.me/davi.css?ec6d7c0e25a6762cdc98)
14:29:07	1387210/1387210	---M--	200	added ('OK')	image/jpeg	etag:%22eaa98c665979b07df6f3c156e037355e%22	https://cdn.glitch.com/3932d60d-d8c1-411c-98dd-ec4c9d5a3d5c%2Fwallpaper.jpg	C:/Benim%20Web%20Sitem/test/cdn.glitch.com/3932d60d-d8c1-411c-98dd-ec4c9d5a3d5c/wallpaper.jpg	(from https://deeply-neon-blackcurrant.glitch.me/davi.css?ec6d7c0e25a6762cdc98)
